country,region,un_region,year,gdp,cpia_regulation,cpia_gender,cpia_resources,cpia_transparency,cpia_inclusion,cpia_trade,education$,coll_enrollment,income_quintile2,income_quintile3,income_quintile4,income_quintile5,income_top10%,income_middle60%,income_difference_top-mid60,comm_import_capita,comm_export_capita
Ireland,Europe,Europe & Central Asia,2010,43208.24,3.777777778,4.277777778,3.833333333,2.666666667,3.755555556,4.333333333333333,6.09528,123.46261,12.7,16.9,22.5,40.2,24.9,52.1,-27.2,14153.792335844506,26432.989119895265
Ireland,Europe,Europe & Central Asia,2011,45085.39,3.75,4.1875,3.875,2.875,3.7375,4.1875,5.75342,122.09314,12.7,16.7,22.5,40.7,25.5,51.9,-26.4,16115.531241890105,28320.15500740445
Ireland,Europe,Europe & Central Asia,2012,46388.58,3.75,4.25,3.875,3.0,3.75,4.3125,5.77466,126.09333,12.5,16.6,22.3,41.1,25.9,51.400000000000006,-25.500000000000007,15701.257447370635,26135.03539629458
Israel,Middle East,Middle East & North Africa,2005,25625.04,3.0,2.75,3.25,2.75,3.1,4.25,5.74732,104.73612,9.7,15.2,23.1,47.2,30.4,48.0,-17.6,6498.080835774375,6171.723351755386
Israel,Middle East,Middle East & North Africa,2006,26336.43,3.0,2.75,3.25,2.75,3.1,4.25,5.74272,104.88754,9.9,15.6,23.3,46.4,29.7,48.8,-19.1,6781.468732721834,6633.669279952365
Israel,Middle East,Middle East & North Africa,2007,28175.21,3.5,2.25,3.25,2.75,3.0,4.25,5.48363,104.26852,10.0,15.7,23.3,46.1,29.5,49.0,-19.5,7885.597554351611,7533.515549922703
Israel,Middle East,Middle East & North Africa,2008,27994.9,3.5,2.25,3.25,2.75,3.05,4.0,5.51871,102.88162,9.8,15.5,23.3,46.5,30.0,48.6,-18.6,8916.723128283713,8392.278486208406
Israel,Middle East,Middle East & North Africa,2009,27903.12,3.5,2.5,3.25,2.75,3.15,4.25,5.47869,101.99169,9.5,15.5,23.5,47.0,30.5,48.5,-18.0,6327.178048519825,6403.576733995939
Israel,Middle East,Middle East & North Africa,2010,29298.96,3.5,2.5,3.25,2.5,3.2,4.25,5.52761,102.05584,9.7,15.5,22.9,47.2,31.1,48.1,-16.999999999999993,7764.559263340154,7662.131801248754
Israel,Middle East,Middle East & North Africa,2011,31161.72,3.25,2.5,3.25,2.5,3.05,4.0,5.56064,101.69799,9.8,15.6,23.6,46.2,29.5,49.0,-19.5,9467.9369800922,8730.115120142162
Israel,Middle East,Middle East & North Africa,2013,34740.4,3.25,2.5,3.25,2.25,3.0,4.0,5.85994,101.53176,10.4,15.9,23.4,45.3,28.9,49.7,-20.800000000000004,8932.939016067994,8286.02357466344
Italy,Europe,Europe & Central Asia,2005,30130.64,3.55,4.1,3.6,2.65,3.62,3.95,4.24747,98.28961,12.4,17.1,23.0,40.7,25.5,52.5,-27.0,6357.583296087128,6385.786401597072
Italy,Europe,Europe & Central Asia,2006,32451.49,3.45,4.1,3.6,2.65,3.6,4.0,4.53567,99.0232,12.4,17.0,22.8,40.8,25.6,52.2,-26.6,7611.193480595833,7169.250432190511
Italy,Europe,Europe & Central Asia,2007,34145.55,3.75,4.3125,3.75,2.625,3.7375,4.1875,4.11661,99.62739,12.6,17.2,23.0,40.1,24.9,52.8,-27.9,8755.418761446917,8553.826394807515
Italy,Europe,Europe & Central Asia,2008,35523.27,3.875,4.375,3.75,2.5625,3.7875,4.3125,4.40077,100.36239,12.4,17.1,22.8,40.8,25.7,52.3,-26.6,9551.760424672008,9225.86595740178
Italy,Europe,Europe & Central Asia,2009,34603.26,3.777777778,4.277777778,3.777777778,2.611111111,3.733333333,4.388888888888889,4.53406,100.71809,12.4,17.1,23.1,40.7,25.4,52.6,-27.200000000000003,7024.176297152374,6885.485183362908
Italy,Europe,Europe & Central Asia,2010,35156.67,3.777777778,4.277777778,3.833333333,2.666666667,3.755555556,4.333333333333333,4.3492,102.2127,12.5,17.0,22.8,41.4,26.2,52.3,-26.1,8215.343997681275,7538.112359298651
Italy,Europe,Europe & Central Asia,2011,36598.01,3.75,4.1875,3.875,2.875,3.7375,4.1875,4.14053,102.66749,12.2,16.9,22.8,41.7,26.4,51.9,-25.5,9411.201871155794,8812.077326989005
