%pov,cpia_regulation,cpia_gender,cpia_resources,cpia_transparency,education$,coll_enrollment,income_middle60%,comm_export_capita
46.8,4.0,3.0,3.0,3.0,7.33565,47.8988,42.9,95.41332502487931
27.4,3.25,2.5,3.25,2.5,1.64626,76.13277,52.2,845.7499807732561
73.2,4.0,3.5,3.5,3.5,3.84818,21.14828,45.9,45.3662618630386
70.7,3.0,3.5,3.0,2.5,2.73217,38.02759,44.8,52.34391871481792
50.7,3.0,3.5,3.5,3.0,4.35638,33.05596,42.7,75.31576083577438
15.3,3.75,4.3125,3.75,2.625,6.31293,100.89894,54.2,7765.312846057769
14.9,3.875,4.375,3.75,2.5625,5.8462,99.66492,54.0,7397.8305921896335
15.6,3.777777778,4.277777778,3.833333333,2.666666667,6.91128,98.43982,54.0,8966.664076447258
15.1,3.75,4.1875,3.875,2.875,7.96375,85.89744,53.7,12680.997797092255
15.8,3.75,4.25,3.875,3.0,6.75966,85.82467,53.6,13442.604297808715
7.9,2.973684211,3.236842105,3.210526316,2.578947368,3.4848,91.84192,46.9,1797.730471493341
24.0,3.4,4.1,3.5,2.6,4.709555,90.34223,50.5,567.5068784667585
25.2,3.0,4.0,4.0,2.5,4.71699,58.79362,50.1,32.185225138152006
48.3,3.5,4.0,4.0,3.5,4.709555,68.51656,40.6,158.76699046213176
12.0,3.55,4.1,3.6,2.65,6.86868,113.87617,51.3,22452.452555193908
11.9,3.45,4.1,3.6,2.65,6.38567,114.04077,55.4,26193.74191249684
11.4,3.75,4.3125,3.75,2.625,6.53527,113.62567,54.2,28813.9660635093
11.7,3.875,4.375,3.75,2.5625,6.28934,112.7376,54.7,35442.8211767606
11.2,3.777777778,4.277777778,3.777777778,2.611111111,7.09981,111.69433,55.1,24084.181341770065
10.5,3.777777778,4.277777778,3.833333333,2.666666667,6.74995,113.23055,55.3,26723.268187240094
10.0,3.75,4.1875,3.875,2.875,6.45617,112.98291,55.6,32385.821021552616
10.9,3.75,4.25,3.875,3.0,7.37182,110.72072,55.4,32071.309392729767
50.4,4.0,2.0,3.5,2.5,2.25436,26.50006,49.6,92.04569373249154
44.1,4.0,2.0,3.5,2.5,2.63527,34.70948,50.5,98.05388787034376
36.8,3.5,2.0,3.5,2.5,2.28688,35.84846,51.2,110.11883448949584
36.3,3.0,2.5,3.5,2.5,2.22175,36.7116,50.6,127.6103688711482
