gdp,cpia_regulation,cpia_gender,cpia_resources,cpia_transparency,education$,coll_enrollment,income_middle60%,comm_export_capita
16563.2,3.75,4.1875,3.875,2.875,4.84382,106.30808,54.5,4377.534853090526
18105.29,3.75,4.25,3.875,3.0,5.12106,107.00487,54.4,4875.699652243355
18994.19,3.75,4.1875,3.8125,3.0,5.17594,106.22801,54.3,3939.6594336396806
19008.0,3.3,4.0,3.5,2.7,4.98751,107.0318,54.1,3818.64629521147
33177.89,3.55,4.1,3.6,2.65,5.769,108.35425,53.1,32035.88584810381
35256.93,3.45,4.1,3.6,2.65,5.84036,108.50358,54.3,34777.86812859892
36795.85,3.75,4.3125,3.75,2.625,5.84903,107.87072,53.3,40632.037676388376
37883.33,3.875,4.375,3.75,2.5625,6.29139,106.41283,54.2,44052.19509834432
37749.91,3.777777778,4.277777778,3.777777778,2.611111111,6.41536,105.69595,54.3,34351.820876278995
39838.04,3.777777778,4.277777778,3.833333333,2.666666667,6.40799,105.78588,54.2,25214.269810232145
40942.37,3.75,4.1875,3.875,2.875,6.37874,106.48113,54.7,29677.58550228224
9623.87,3.666666667,3.666666667,3.666666667,3.388888889,6.621,75.35979,50.5,947.1828043501208
2011.4,4.0,3.0,3.0,3.5,3.63079,34.58277,50.5,35.36393318345762
3968.93,3.5,4.5,4.0,4.0,7.0781,45.72123,50.5,389.50600235481056
6504.35,3.5,4.0,4.0,4.5,4.02447,66.11239,50.5,586.0709579938655
10907.14,3.055555556,3.25,3.277777778,2.805555556,10.67859,78.52549,50.5,2340.770911667169
10954.86,3.777777778,4.0,3.555555556,3.444444444,4.4767,101.29199,36.3,634.8703268377482
12522.52,3.777777778,3.833333333,3.666666667,3.444444444,4.97835,95.17,37.7,837.701221058643
13281.07,3.666666667,3.833333333,3.666666667,3.444444444,5.2727,96.72012,38.2,1016.049566565393
13222.75,3.611111111,3.777777778,3.611111111,3.5,5.47154,96.66548,38.5,780.349510706615
14989.16,3.5,3.722222222,3.611111111,3.388888889,5.73952,95.26338,39.2,1279.9407132371502
14994.34,3.444444444,3.611111111,3.611111111,3.388888889,5.91431,95.58373,38.6,1199.8964372463777
10291.42,3.55,4.1,3.6,2.65,4.11536,90.45072,50.5,1532.755222110748
11406.49,3.45,4.1,3.6,2.65,3.91204,91.37149,52.6,1986.766657167944
12820.81,3.75,4.3125,3.75,2.625,3.65297,91.69475,50.5,2461.8021651250083
14346.9,3.875,4.375,3.75,2.5625,4.20479,90.61116,52.1,3001.044510281598
14181.95,3.777777778,4.277777778,3.777777778,2.611111111,4.29411,89.52446,52.3,2216.756833654311
14956.36,3.777777778,4.277777778,3.833333333,2.666666667,3.91536,90.42465,51.5,2786.5227895671464
15747.08,3.75,4.1875,3.875,2.875,3.59234,93.18286,52.5,3832.874600453328
16327.86,3.75,4.25,3.875,3.0,3.52336,93.17964,51.2,3654.419570625775
1176.36,3.0,3.5,4.0,3.5,4.43259,14.3003,50.5,25.170490160619025
1454.58,3.5,3.5,4.0,3.5,3.93896,21.9022,50.5,84.25450041022297
1637.93,3.5,3.5,4.0,3.5,4.50015,30.33527,47.3,143.29114239188212
567.7,2.5,3.5,3.0,3.0,3.63169,12.69901,50.5,15.395574751985215
630.36,2.5,4.0,3.5,2.0,6.79287,22.82431,50.5,12.94637617372506
696.5,3.0,4.0,4.0,2.0,5.41475,32.27849,46.8,20.27166383387209
2567.22,3.5,3.5,3.0,2.5,3.12323,26.64419,50.5,164.8987944026719
2786.09,3.0,3.0,3.0,2.5,3.36625,31.76378,45.0,231.7634106562036
12685.03,3.777777778,4.0,3.555555556,3.444444444,3.22508,97.65838,50.5,2601.56132296801
15676.58,3.722222222,4.0,3.611111111,3.444444444,3.02381,98.33355,41.5,3643.5340784966857
16118.38,3.611111111,3.777777778,3.611111111,3.5,4.24129,94.21283,41.400000000000006,3304.148279238649
18104.72,3.666666667,3.666666667,3.666666667,3.388888889,4.1812,94.57371,50.5,4200.14314716497
20330.52,3.5,3.722222222,3.611111111,3.388888889,4.0681,93.78813,42.1,4766.461429527042
22425.59,3.444444444,3.555555556,3.611111111,3.5,4.55744,100.45767,41.9,4401.470207144748
9254.78,3.045454545,3.363636364,3.727272727,3.0,4.81376,84.92116,45.8,1179.4556728785494
8413.0,3.777777778,4.0,3.555555556,3.444444444,3.99501,83.40794,37.400000000000006,501.8940538746887
