%pov,cpia_regulation,cpia_gender,cpia_resources,cpia_transparency,cpia_inclusion,cpia_trade,education$,coll_enrollment,income_quintile2,income_quintile3,income_quintile4,income_quintile5,income_top10%,income_middle60%,comm_import_capita,comm_export_capita
15.4,3.045454545,3.363636364,3.409090909,3.0,3.181818182,3.8181818181818175,2.9019,69.7292,11.4,15.3,21.3,44.3,29.1,48.0,543.1870559328081,575.8696107558392
14.1,3.045454545,3.363636364,3.590909091,2.954545455,3.218181818,4.0,3.52513,74.73399,11.5,15.2,21.1,44.4,29.4,47.8,401.8119371827272,483.4814662568484
12.5,2.961538462,3.307692308,3.538461538,3.076923077,3.176923077,3.8846153846153846,3.18944,79.21021,10.2,14.2,20.7,47.9,32.6,45.1,718.0727150264373,823.5405451954075
12.0,2.892857143,3.285714286,3.5,3.142857143,3.178571429,3.928571428571429,3.40748,80.40742,10.2,14.1,20.5,48.1,32.9,44.8,766.0812224846352,759.450853304893
11.4,2.9,3.3,3.4,3.1,3.133333333,3.966666666666667,3.36658,82.48971,10.1,13.9,20.5,48.6,32.9,44.5,736.858964301533,720.7623836664961
11.3,2.9,3.3,3.4,3.133333333,3.153333333,4.0,3.29643,82.4687,10.2,14.2,20.6,47.9,32.5,45.0,695.3889333643799,687.0247766886065
19.3,3.55,4.1,3.6,2.65,3.62,3.95,4.24747,98.28961,12.4,17.1,23.0,40.7,25.5,52.5,6357.583296087128,6385.786401597072
19.5,3.45,4.1,3.6,2.65,3.6,4.0,4.53567,99.0232,12.4,17.0,22.8,40.8,25.6,52.2,7611.193480595833,7169.250432190511
18.9,3.75,4.3125,3.75,2.625,3.7375,4.1875,4.11661,99.62739,12.6,17.2,23.0,40.1,24.9,52.8,8755.418761446917,8553.826394807515
18.4,3.875,4.375,3.75,2.5625,3.7875,4.3125,4.40077,100.36239,12.4,17.1,22.8,40.8,25.7,52.3,9551.760424672008,9225.86595740178
18.7,3.777777778,4.277777778,3.777777778,2.611111111,3.733333333,4.388888888888889,4.53406,100.71809,12.4,17.1,23.1,40.7,25.4,52.6,7024.176297152374,6885.485183362908
19.8,3.777777778,4.277777778,3.833333333,2.666666667,3.755555556,4.333333333333333,4.3492,102.2127,12.5,17.0,22.8,41.4,26.2,52.3,8215.343997681275,7538.112359298651
19.5,3.75,4.1875,3.875,2.875,3.7375,4.1875,4.14053,102.66749,12.2,16.9,22.8,41.7,26.4,51.9,9411.201871155794,8812.077326989005
14.8,3.777777778,4.0,3.555555556,3.444444444,3.575,4.222222222222222,4.61642,90.57089,11.9,16.3,21.9,41.8,27.0,50.400000000000006,1824.834057626408,565.7618723856992
17.6,3.666666667,3.666666667,3.666666667,3.388888889,3.555555556,4.277777777777778,6.3713,92.82521,11.9,16.3,21.9,41.8,27.0,50.400000000000006,1911.274875854824,485.6080575120634
46.8,4.0,3.0,3.0,3.0,3.1,4.0,7.33565,47.8988,9.1,13.4,20.4,52.2,36.8,42.9,163.1048416134694,95.41332502487931
27.4,3.25,2.5,3.25,2.5,3.05,4.0,1.64626,76.13277,12.7,17.0,22.5,40.0,24.8,52.2,3996.514090230118,845.7499807732561
73.2,4.0,3.5,3.5,3.5,3.6,4.0,3.84818,21.14828,10.8,14.6,20.5,47.5,32.4,45.9,90.94987699622358,45.3662618630386
70.7,3.0,3.5,3.0,2.5,2.9,4.0,2.73217,38.02759,10.0,14.1,20.7,49.4,33.5,44.8,108.1492814212949,52.34391871481792
50.7,3.0,3.5,3.5,3.0,3.5,3.5,4.35638,33.05596,9.3,13.4,20.0,51.8,36.9,42.7,147.06076771552006,75.31576083577438
15.3,3.75,4.3125,3.75,2.625,3.7375,4.1875,6.31293,100.89894,13.4,17.7,23.1,37.5,22.6,54.2,12163.098713132247,7765.312846057769
14.9,3.875,4.375,3.75,2.5625,3.7875,4.3125,5.8462,99.66492,13.4,17.5,23.1,37.5,22.5,54.0,12557.63588508448,7397.8305921896335
15.6,3.777777778,4.277777778,3.833333333,2.666666667,3.755555556,4.333333333333333,6.91128,98.43982,13.4,17.6,23.0,37.6,22.7,54.0,13828.86358043753,8966.664076447258
15.1,3.75,4.1875,3.875,2.875,3.7375,4.1875,7.96375,85.89744,13.5,17.6,22.6,37.8,23.2,53.7,17767.251933850308,12680.997797092255
15.8,3.75,4.25,3.875,3.0,3.75,4.3125,6.75966,85.82467,13.5,17.6,22.5,38.0,23.4,53.6,18799.272315178987,13442.604297808715
7.9,2.973684211,3.236842105,3.210526316,2.578947368,3.173684211,3.421052631578948,3.4848,91.84192,11.2,15.1,20.6,46.2,31.6,46.9,4595.978271844011,1797.730471493341
24.0,3.4,4.1,3.5,2.6,3.6,4.0,4.709555,90.34223,10.7,16.3,23.5,44.3,27.7,50.5,3295.250381333389,567.5068784667585
25.2,3.0,4.0,4.0,2.5,3.7,3.5,4.71699,58.79362,12.1,16.2,21.8,41.5,26.4,50.1,188.34997535304203,32.185225138152006
48.3,3.5,4.0,4.0,3.5,3.7,4.5,4.709555,68.51656,8.5,12.8,19.3,54.6,39.6,40.6,464.8395982310963,158.76699046213176
12.0,3.55,4.1,3.6,2.65,3.62,3.95,6.86868,113.87617,13.5,16.6,21.2,39.7,26.3,51.3,12007.709422454263,22452.452555193908
11.9,3.45,4.1,3.6,2.65,3.6,4.0,6.38567,114.04077,14.4,18.0,23.0,35.5,21.2,55.4,13775.434548199972,26193.741912496836
